stock_id,r_squared,valid_count,invalid_count,incomplete_count
000599.SZ,0.1841,5671,1870,4
000600.SZ,0.2554,8093,1670,2
000601.SZ,0.1665,8593,1593,4
000603.SZ,-0.0114,10636,1559,9
000605.SZ,0.1002,3849,2028,12
000606.SZ,0.2735,8511,1763,2
000607.SZ,0.2086,3763,2167,4
000608.SZ,0.0742,2088,1858,2
000609.SZ,0.0352,9727,1559,7
000610.SZ,0.0146,11303,1056,6
000612.SZ,0.1040,26547,117,16
000613.SZ,0.0211,14312,751,11
000615.SZ,0.1874,4575,1876,4
000616.SZ,0.1620,13959,789,6
000617.SZ,-0.1291,4323,2034,3
000619.SZ,0.2089,9109,1652,3
000620.SZ,0.1906,3172,1867,3
000622.SZ,0.2027,4475,1843,4
000623.SZ,0.1137,10138,1334,3
000625.SZ,0.1691,31213,81,11
000626.SZ,-0.0335,3047,1940,3
000627.SZ,0.2541,10991,1350,4
000628.SZ,0.2632,4836,1859,3
000629.SZ,0.2473,9939,1186,6
000630.SZ,0.2496,15903,259,6
000631.SZ,0.2204,1604,1693,3
000632.SZ,0.0090,3434,2224,4
000633.SZ,0.3717,4003,2287,2
000635.SZ,0.2462,3065,1961,3
000636.SZ,0.1283,32565,69,21
000637.SZ,-0.0268,2900,2000,5
000638.SZ,0.2650,2776,1836,2
000639.SZ,0.1235,14801,742,8
000650.SZ,0.1158,15058,635,3
000651.SZ,-0.0265,50499,11,22
000652.SZ,0.0785,14231,529,6
000655.SZ,0.2781,16189,1337,5
000656.SZ,0.2091,26742,272,12
000657.SZ,0.3118,9387,1833,5
000659.SZ,0.2427,2413,1827,3
000661.SZ,0.0720,23900,124,6
000662.SZ,-0.5585,4268,1718,2
000665.SZ,-0.0027,9465,1283,5
000666.SZ,0.2028,6156,1939,6
000667.SZ,0.2688,10345,1293,8
000668.SZ,0.3546,5633,1982,2
000671.SZ,0.1297,12114,1210,6
000672.SZ,-0.0282,19923,345,12
000676.SZ,0.0372,9511,1170,8
000677.SZ,0.3004,4330,1902,5
000678.SZ,-0.0728,5870,1825,3
000680.SZ,0.2853,8872,1614,3
000681.SZ,0.2256,13305,1038,6
000682.SZ,0.2374,12339,1281,2
000683.SZ,0.1128,27417,180,17
000685.SZ,0.1459,5213,2045,2
000686.SZ,0.2032,18820,457,6
000687.SZ,-0.0209,6537,1480,3
000688.SZ,0.3146,5130,1897,2
000690.SZ,0.3767,14987,1250,6
000691.SZ,0.0890,5085,1874,3
000692.SZ,0.3303,2175,1879,3
000695.SZ,0.1335,2909,2057,3
000697.SZ,0.0170,19682,564,16
000698.SZ,0.1347,25471,183,13
000700.SZ,0.0678,13830,771,14
000701.SZ,0.1373,12733,2790,6
000702.SZ,0.2466,7564,2150,5
000703.SZ,0.2882,14138,923,4
000705.SZ,-0.0088,3527,2119,1
000708.SZ,0.2530,9150,1578,3
000709.SZ,0.2034,9336,1255,3
000710.SZ,0.1960,14771,992,4
000711.SZ,0.0510,3842,1865,4
000712.SZ,0.2495,16604,1038,5
000713.SZ,0.1735,30545,134,13
000715.SZ,-0.0944,2382,1763,4
000716.SZ,0.1244,9902,1492,5
000717.SZ,0.3119,12433,1165,9
000718.SZ,0.3161,7504,1972,4
000719.SZ,0.2232,2830,2018,1
000720.SZ,-0.1113,3078,2003,5
000721.SZ,-0.0414,13353,594,6
000722.SZ,0.2395,3972,2011,5
000723.SZ,0.0444,19328,310,6
000725.SZ,0.0936,58916,15,20
000726.SZ,-0.0738,2853,1934,4
000728.SZ,0.2195,17274,582,4
000729.SZ,0.2941,10359,1501,2
000731.SZ,0.0171,9489,1240,9
000732.SZ,0.2165,10237,1323,6
000733.SZ,-0.0047,13685,1457,6
